,AHR,AR,ARID3A,ARID5B,ARX,ASCL1,ASCL2,ATF1,ATF3,BACH1,BACH2,BATF,BCL11A,BCL11B,BCL6,BHLHE40,BHLHE41,CEBPA,CEBPB,CEBPD,CREB5,CREM,CUX2,DDIT3,DMRT2,DPF3,EBF1,EBF2,EBF3,EGR1,EGR2,EGR3,EHF,ELF1,ELF4,EMX2,EOMES,EPAS1,ERG,ESR1,ESR2,ESRRB,ESRRG,ETS1,ETS2,ETV1,ETV5,ETV6,FLI1,FOS,FOSB,FOSL1,FOSL2,FOXB1,FOXC1,FOXO1,FOXP1,FOXP2,GATA3,GATA4,GFI1,GLI2,GLI3,GLIS1,GMEB1,GRHL2,HES1,HES5,HES6,HESX1,HEY2,HEYL,HHEX,HIF1A,HLX,HMGA2,HNF4G,HOXD1,HSF1,IKZF1,IKZF2,IKZF3,IRF1,IRF4,IRF5,IRF7,IRF8,JUN,JUNB,JUND,KLF12,KLF13,KLF2,KLF4,KLF5,LEF1,LYL1,MAF,MAFB,MAFF,MAFK,MEF2A,MEF2C,MEIS1,MEOX2,MITF,MXI1,MYBL1,MYC,MYT1L,NFATC1,NFATC2,NFIA,NFIL3,NFKB1,NFKB2,NKX6-2,NPAS2,NR1D1,NR1I2,NR2F2,NR3C2,NR4A1,NR4A2,NR4A3,NR5A2,OLIG1,PAX2,PAX3,PAX5,PBX1,PBX3,PBX4,PGR,PKNOX2,PLAGL1,POU2F2,POU2F3,POU5F1,PPARA,PPARD,PPARG,PRDM1,PROX1,PRRX1,PRRX2,RARA,RARB,RBPJ,REL,RELA,RELB,RFX4,RORA,RORB,RUNX1,RUNX2,RUNX3,SMAD3,SNAI3,SOX10,SOX11,SOX18,SOX4,SOX5,SOX6,SPI1,SREBF1,ST18,STAT1,STAT2,STAT4,STAT5A,STAT6,TAL1,TBX18,TBX19,TBX21,TBX3,TCF7L1,TCF7L2,TEAD4,TET1,TET3,TFCP2L1,TFDP2,TGIF2,THRB,TRPS1,TWIST1,TWIST2,VDR,XBP1,ZBTB2,ZBTB7B
Topic_0,9.542609581138698e-08,0.0,2.7260119371748384e-06,1.130038214022103e-06,0.0,0.0,0.0,5.901838274444198e-07,0.0,0.0,8.850907405353567e-07,0.0,1.072341665584611e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.062213430087099e-09,9.969086543492615e-07,0.0011389315089753668,0.0,0.0,1.8802266736383036e-09,0.0,0.0,0.0,0.0,0.0,2.321062513219968e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8486223817992994e-05,0.0,6.230144176922227e-06,0.0,0.0,1.3921830587376405e-07,0.0,0.0,0.0,0.0,1.9462323909488942e-06,0.0,0.0,0.0,0.016572507751430775,6.979337471753824e-07,0.0,0.0,0.0,0.0,0.0,1.4686041073438871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3048300864014475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3918260865097516e-06,0.0,4.083798682318766e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.677591356742856e-05,0.02127812954615026,0.0,0.0,0.0,4.7526936024117405e-07,0.0,0.0,0.45843756723295265,0.0,0.0,1.270021809758198e-07,0.0,5.482623593835851e-07,0.0,0.0,2.088785297645665e-06,0.0,0.0,0.0,1.557505221404766e-05,1.1345445310805697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228296721497737e-07,0.0,0.0,0.0,2.873890985252536e-06,0.0,2.4013403846632486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3360583674963125e-07,0.0,0.0,0.0,0.0,8.74751994707021e-07,2.388596362911361e-07,0.0,0.0,0.0,0.09304230583543148,0.0,0.0,0.0,0.0,0.0,1.1190839638637461e-06,0.0,0.0,0.0,0.0,3.138461994688856e-08,3.636213233672773e-07,0.20703906843576597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33904294798865e-08,0.0,0.0,8.106750324809577e-08,0.0,6.9070110171126526e-06,0.0,0.20236510179274764,3.787340756863427e-07,0.0,0.0,0.0,0.0,0.0,0.0
Topic_1,0.0,0.0,0.0,0.00018025723886681166,0.0,0.0,0.0,0.0,0.0,0.00012738402666845032,0.000725698743673569,0.0,0.0,0.0,0.00015569003760123053,0.0,0.0,0.0,0.0,0.0,0.0023725581575011435,0.0,0.0,0.0,0.0,1.4609410639419282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009100579274398482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007811274494169486,0.0,0.0,0.0037876642479223667,0.0,0.001239331252217495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024539369695821754,0.001023319103928699,0.017074787603519027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6315333147785514e-05,0.0,0.0,0.0,0.0,2.5313785475163752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006094751138774352,0.04996457890141981,0.0011039354420029545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018007661311618857,0.0012197010407392647,0.005705490656092861,0.0,9.203044837428345e-05,0.007359550310528351,0.0,0.0,0.0008431079757478588,0.0,0.0,0.004741565479535417,0.0,6.6407580067485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002688931017481401,0.0,0.0,0.0,0.005218242164227728,0.0002881066983218936,0.0,0.0,0.0020312674330433935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4482965921362324,0.004346857856633521,0.0,0.0,0.0,0.0,0.0006177494831955539,0.0,0.0,0.0,0.0,0.0,0.0,0.01363791929759534,0.22823442751518133,0.0,0.0511855855712922,0.005567800504352745,0.061831497833171975,0.0,0.0,0.001157390796421417,0.0,0.000452099808532169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009967407355186554,0.001084910329740784,0.0,0.0,8.998507256334153e-08,0.0,0.06608410063441207,0.0,0.0,0.0005994784203395585,0.0,0.0,0.0,0.0,0.0,0.0
Topic_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013934534894102262,0.06335276580961509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015880969181176052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021770586109029082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.471461572418597e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002293748550642484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016432785406748338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035298966676461643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009677823413567137,0.0,0.0,0.0,0.3578865069715596,0.0,0.0,0.0,0.0026923550117984563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02841230809121714,0.12499976202227162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21851124142765324,0.0,0.0,0.06872419096522023,0.02355698816309722,0.052387297662438985,0.0,0.0,0.004969816654035343,0.0,0.0004013774870906384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006554600612920189,0.008301845449554176,0.0,0.0,2.6790146600429483e-06,0.0,0.00836876919309282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Topic_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018340788482603284,0.0,0.0,0.0,0.10269282483591673,0.0,0.0,0.0,0.0,0.0,0.0002963951043242181,0.0,0.0,0.0,0.0,3.711655190570624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702410654680179,0.0,0.0,0.0,0.0,0.0,0.0,0.005200539959093723,0.0,0.0,0.0,0.0,0.0,0.0,0.0031737653199791914,0.0,0.0,0.0,0.0,0.0,0.0030713398649895663,0.0014786403549415404,0.0,0.0,0.0,0.0,0.0,0.0004741052128256684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514055630662476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025042691539774466,0.0,9.911509420445227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025517077894232073,1.9185942559286287e-05,0.0,0.0,0.0,0.007073137817571325,0.0,0.0,0.0,0.0,0.0,0.005659104592904376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041576006453103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032922900246244737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005245291480762616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007512919384910994,0.0,0.0,0.0,0.0004302582721327166,0.010887114556327864,0.005643610572963896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014349640430767323,0.010310498844205998,0.0,0.008194105221974175,0.009704908986894502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08782428540268761,0.0,0.0,0.0,0.0,0.0013800403060784323,0.0,0.0020184311397253765,0.003170308719484331,0.0,0.0,0.0,0.0,0.0,0.0
Topic_4,0.0,0.0,0.0,0.0023578268925848254,0.0,0.0,0.0,0.0,0.0,0.0,2.485504450542722e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1897985324088438e-08,0.0,0.0,0.0,0.0,1.5631657941511116e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009839686398384319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2694738297134484e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0571613423709376e-05,0.000138870102077323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080828476438793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.482508998537061e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88580079525388e-05,0.0,3.001559378310101e-08,0.0,7.314990636834236e-05,0.9837495309162884,0.0,0.0,0.0,0.0,0.0,2.498379908044956e-06,0.0,1.4638670682037435e-05,0.0,2.1623849652383524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5540714594158747e-08,0.0,0.0,0.0,2.478106343524744e-07,5.291856468058945e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1853049729017775e-06,0.0,0.0,0.0,0.0,6.43561015793876e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.825844519788705e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00010852188062049712,2.2757592188290222e-05,0.0,0.0035135439896875134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2822835065351384e-08,0.0,5.714630771717009e-06,0.0,0.0,6.714733826211157e-09,0.0,0.0,0.0,0.0,0.0,0.0
Topic_5,0.0,0.0,0.0,0.010655921071794116,0.0,0.0,0.0,0.0,0.0,0.06679586159110887,0.0,0.0,0.0,0.0,0.0,0.0,0.1597675448014624,0.0,7.99265901374799e-05,0.012334970885318215,0.0,0.000858107684952716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08501970617206198,0.0,0.0006667773753272121,0.0,0.0010156308877692845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06851532000246753,0.14061631008796882,0.0,0.0005643291888010168,0.0,0.0,0.0,0.0,0.0,0.0,0.0005009196477895847,0.001195842275077054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10147118563519109,0.0,0.0,0.0,0.0,0.0,0.0015017565951889224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008028352007843337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.978593429767997e-05,0.0,0.0,0.0,0.003460130245598455,0.0,0.0,0.007937181769259859,0.0,0.0,0.0,0.0,0.0,0.0,0.008737342980804233,0.0,0.00021945396292653185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08672013779283246,0.0,0.0,0.0,0.00248350513454651,0.0,0.0,0.0,0.0,9.520243630460043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09623290918973434,0.005816246023456132,0.0,0.0,0.0,0.0,0.0,0.004002913802755926,0.00011656425855391115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008273888404746887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07262302081328566,0.0,0.0,7.293269969374394e-06,0.0,0.0,0.0,0.0,0.05060299536256609,0.0,0.0,0.0,0.0,0.0,0.0
Topic_6,8.220270850218663e-06,0.0,0.0,0.0032497313377656246,0.0,0.0,0.0,0.003980582853170435,0.0,0.0005976521217222613,0.13745732267673041,0.0,0.0,0.0,0.00039289142776707846,0.0,0.0,0.0,0.0,0.00029415867890833465,9.53747177719638e-05,0.0002135060403439008,0.0,0.0,0.0,3.609336477686879e-06,0.0,0.0,0.0,0.002198259413156876,0.0,0.0,0.0,0.006525548361074299,0.0,0.0,0.0,9.095999540872011e-05,0.0,0.0,0.00022545724386646232,0.0,0.0009273025444454619,0.0,0.0,0.000603703424198885,0.00012472347129204725,0.0039114416507202415,0.0,0.0018267144019796329,0.0,0.0,0.0,0.0,0.0,0.010220111797741174,0.01935884583046888,0.0,0.0,0.0,0.0,0.0,4.083418903838625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015887293653059673,0.0,0.0,0.0,0.0,0.0,0.0,0.007497001057849203,0.0,0.0,0.0,0.0,0.0,0.0,0.006982723773653505,0.0036433485373206786,0.03227941382431319,0.00025539721834316775,0.003278810655277736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059740673352162814,0.047282110067377724,0.0005967340671941452,0.0,0.0029615589636428448,0.0017816615498429543,0.0,0.0,0.006413673773408506,0.0,0.0,0.0021902702601420496,0.0,0.007597013015884263,0.0,0.0,0.021513220800404704,0.0,0.0,0.0,0.005853856029659623,0.0,0.0,0.0,0.0,1.0693705648421869e-05,0.0,0.0,0.0,0.001500665395715766,0.00026245887196750653,0.0,0.0,0.0014304239457382643,0.0,0.0,0.0,0.0,0.0001839323836016797,0.011090544560517205,0.0,0.0,3.504890705903749e-05,0.001989028266738648,0.0,0.0,0.0,0.004849129062135148,0.0,0.0,0.0,0.00019263138633889492,0.003923039863577857,0.00012826095985050425,0.003120772931389115,0.001905601176342481,0.0,0.001593784730400015,0.0,0.0,0.0,0.0,0.0021821692099523635,0.42721619670909,0.0004055554153580942,0.0,0.006748810399762238,0.0005883928844309554,0.0006770329297384593,0.007638746001397822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001503523149550759,0.0007243577186797322,0.0,7.846489176665125e-06,2.130344252175137e-06,0.0,0.002425512018680442,0.0,0.07029124871195268,0.04577793809326229,0.0,0.0,0.0,0.0,0.0,0.0
Topic_7,0.0,0.0,0.0,3.6224023337533863e-09,0.0,2.60065767004714e-09,0.0,0.0,0.0,3.85614096688988e-07,1.343811122110704e-12,0.0,8.9526655269275e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0189816287258886e-07,0.0,0.0,0.0,0.0,2.1591902359657997e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8769560430242885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.104925228357263e-10,0.0,0.0,1.87012713987868e-07,1.3398450965585317e-07,5.231474120002007e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79224807894578e-07,1.0451227492378057e-08,0.0,0.0,0.0,0.0,1.8705885411809703e-09,1.121098610733842e-07,0.0,0.0,0.0,0.0,0.0,3.0089316659394097e-10,0.0,0.0,0.0,0.0,4.538668937519911e-09,0.0,0.0,3.451605865205151e-06,0.0,0.0,0.0,1.1139021080475923e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.8042916939363262e-08,0.0,0.0,7.087255672386422e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.365237405399393e-08,2.6415612414363173e-13,2.3822543880762122e-07,1.7658342199995134e-08,7.096973839637539e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.2828487174313816e-08,0.0,7.998306331321697e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.828817762694658e-10,0.0,0.0,0.0,0.0,3.219616037622758e-09,0.0,0.0,0.0,6.675111237869686e-10,2.92651211006135e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.630723612101171e-06,0.0,0.0,8.001245631961924e-10,4.867535139719887e-08,0.0,0.0,0.0,9.43364350000477e-09,0.0,0.0,0.0,5.0224940872367314e-08,2.7284602080770836e-10,1.1254775864387509e-10,2.581999216274007e-07,0.0,0.0,0.0,0.0,0.0,4.3868426923006336e-14,0.0,1.0839038689332222e-10,2.869207144366445e-10,1.7527272903297224e-10,0.0,0.0,2.580222255923685e-10,1.7871970199914326e-07,5.5205393055489783e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.018406804994322e-07,0.0,2.4468545969008875e-12,6.143571409916281e-14,0.0,4.165183641443447e-12,0.0,0.0,0.9999556933380462,0.0,0.0,0.0,0.0,0.0,0.0
Topic_8,0.0,0.0,0.0,1.9670272994148547e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.737677004823862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.822345848083378e-07,0.0,0.0,0.0,0.0,2.9735323786764225e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805496113619488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0533723295440822e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.862319660837955e-08,7.834157523674292e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1933737228404835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4864622167480033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71421591654031e-07,0.0,4.0862945710233494e-07,0.0,5.937131975190254e-07,1.6270275778875112e-06,0.0,0.0,0.0,0.0,0.0,3.2312134347626286e-07,0.0,1.5859132241035341e-06,0.0,3.1486425769230534e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1120258278821385e-08,0.0,0.0,0.0,3.1559959577715755e-07,6.125999893423836e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8415787823066434e-08,0.0,0.0,0.0,0.0,7.405261999015089e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1249372913197944e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.6545107671865058e-06,0.999964829048245,0.0,8.236228466232637e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.363378818093184e-08,0.0,0.0,0.0,0.0,0.0,0.0
Topic_9,0.0,1.6730216805258698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621386412024184e-07,3.816755449091307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7090517765181674e-07,5.96493837122056e-06,2.9343233588849164e-11,0.0,0.0,0.0,3.2545850045259066e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4835358795921606e-06,0.0,0.0,0.0,1.7701473369575956e-08,0.0,0.0,0.15382288793994844,0.0,3.797360105166162e-05,0.0,0.0,0.3574803814402312,4.183356817031102e-06,2.9997418310030577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.898633127341363e-06,0.0,0.0,0.0,0.0,0.0,8.67627040094271e-06,1.388577441745075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7788940599771817e-07,0.0,0.0,6.194253613733568e-05,0.0,0.0,0.0,1.711636944321209e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.975452378263724e-06,0.0,0.0,5.091091622022667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01713052486588589,0.1293793171847975,2.3662973930573358e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.20650480478297237,0.0,0.0,0.0,0.0,9.998521372959229e-07,0.0,0.0,0.0,1.0952894958045361e-07,0.0,0.0,0.0,0.0,2.651487511667506e-07,0.0,0.0,0.0,2.6857833114803867e-05,7.374290300873145e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.451951099582425e-07,0.08464597800878079,0.0,0.0,0.0,3.091740118234376e-08,0.0,0.0,0.0,0.040123186207260166,0.01026814990094024,2.5339162350204724e-05,2.990800630444067e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51843201220049e-06,2.5354309974496e-05,1.889086092947794e-05,0.0,0.0,0.0,1.3226805042348738e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003335301516667885,0.0,8.563677653605139e-07,1.3809010182468572e-12,3.751179004752607e-06,3.3875707674848006e-07,0.0,3.5652246937405256e-06,1.0875614006328295e-06,0.0,0.0,0.0,0.0,0.0,0.0
Topic_10,0.0001301706362166945,0.0,0.0,0.0008200436302777558,0.0,0.0,0.0,0.0,0.0,0.0009069496912140284,0.038663842235802916,0.0,0.0,0.0,0.0017404298092388898,0.0,0.0,0.0,0.0,0.0,0.009001293985825727,0.0,0.0,0.0,0.0,0.00031608999571955946,0.0,0.0,0.0,0.0011560929868138442,0.0,0.0,0.0,2.7336322843887702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009801546318408893,0.0,0.0,0.16459155462086122,0.0,0.0010424317251492045,0.0,0.00017122839000258946,0.0,0.0,0.0,0.0,0.0,0.0009152311732620904,0.000203580185233927,0.0,0.0,0.0,0.0,0.0,0.0006429103854087141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18083717043938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00021572687008356917,0.0,0.0,0.0,0.0,0.0,0.0,0.0005491686542449776,0.0,0.0,0.005509243541628968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026235352436617174,0.12733482139255653,0.00981483511776374,0.003197003996079376,0.0,0.0005292471515531785,0.0,0.0,0.00471111596324903,0.0,0.0,0.0348200395041832,0.0,5.730419056488325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008964915555538757,0.0,0.0,0.0,0.0,0.0018542843574525208,0.0,0.0,0.0,0.01154924866898957,0.0008476289144406891,0.0,0.0,0.012952496008123964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006629310647472919,0.003646090055827204,0.0,0.0,0.0621800166418248,0.004865682906298186,0.0,0.0,0.0,0.0048880265079936465,0.03420800454362786,0.0,0.00062119903829911,0.0,0.0,0.0,0.0,0.0,0.010600216362425089,0.0,0.004469322611138963,0.016648582177171654,0.047173777861388266,0.0,0.0,1.795196461080019e-05,9.420170701014158e-05,0.00023755096623033793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017873839736558964,0.0006419822498936779,0.0,0.0007135941933560853,0.0019478415857241852,0.0,0.15018244948089024,0.0,0.20786806872082553,0.0011134540530825577,0.0,0.0,0.0,0.0,0.0,0.0
Topic_11,9.460124050006848e-06,0.0,0.0,5.715555903364149e-06,0.0,0.0,0.0,0.0,0.00012474480441368514,5.249523532567683e-06,0.00023635248704595286,0.0,0.0,0.0,0.0024943016746379015,5.348776413058912e-05,0.0009599403704938977,0.0,0.0023911710347155855,8.149534274209823e-05,3.1320115584450206e-05,0.0,0.0,0.00042989874787692197,0.0,1.4462582812579675e-07,0.0,0.0,0.0,0.0009190241658627322,0.0,0.0,0.0,0.0015547404554926087,0.0,0.0,0.0,3.2508105325740037e-06,0.0,0.0,0.0,0.0,0.0,0.48239535719785603,0.0,0.0004661035528771572,0.0,4.0133738764785596e-05,0.0,0.0020747536413819314,0.0,0.0,5.892275721417507e-06,0.0,0.0,0.09614107149111474,0.0001788013898408061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.168431458930055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00034055802048151446,0.0,0.0,0.0,0.0,0.0009519838720628594,0.0,0.0,0.0,0.00036155588057481993,0.0,0.0,0.0,0.0,6.0634504469219256e-05,0.00016307522777911723,0.000884955324205781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048753771107182183,4.878476304678219e-05,0.00023370913054525123,0.0,5.102151757172048e-05,1.8172954300105953e-05,0.0,0.0,0.00011870116859960428,4.897262146025003e-05,0.0,0.006677339219192067,0.0,0.0,0.0,0.00019476932604894394,0.0011288947145626593,0.004021553027156021,0.0,0.0,6.10199111925997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000278771255998647,0.043227607934564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214505106126142,0.0,0.0,0.0,0.0,0.0857781604879175,0.0011053687427689124,0.0,0.0022424352802593458,0.0,8.468405704274063e-05,0.0,0.00024240568909802127,0.0,0.0,0.0,0.0,0.0,0.003895490872547847,0.0,0.019685759543036262,0.008256821714026662,0.004536051703032976,0.0,0.0,0.0,0.0,7.669666749392553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6605519749210777e-06,0.0,0.002015006466226232,0.0,0.0,2.071936387710462e-05,0.0,0.0,0.0,4.333007262679339e-05,0.0,0.0
